id,pid_total,penalty_bind,penalty_top50,gaps_bind,dr_interface_size,dr_bsa,dr_sasa,dr_res_type_0,dr_res_type_1,dr_res_type_2,dr_res_type_3,dr_res_type_4,dr_res_type_5,dr_res_type_6,dr_res_type_7,dr_res_type_8,dr_res_type_9,dr_res_type_10,dr_res_type_11,dr_res_type_12,dr_res_type_13,dr_res_type_14,dr_res_type_15,dr_res_type_16,dr_res_type_17,dr_res_type_18,dr_res_type_19,dr_polarity_0,dr_polarity_1,dr_polarity_2,dr_polarity_3,dr_res_size,dr_res_mass,dr_res_charge,dr_hb_acceptors,dr_hb_donors,dr_irc_negative_negative,dr_irc_negative_positive,dr_irc_nonpolar_negative,dr_irc_nonpolar_nonpolar,dr_irc_nonpolar_polar,dr_irc_nonpolar_positive,dr_irc_polar_negative,dr_irc_polar_polar,dr_irc_polar_positive,dr_irc_positive_positive,dr_irc_total,dr_res_charge_positive,dr_res_charge_negative,dr_res_pI,dr_hb_donor_acceptor_ratio,dr_salt_bridges,dr_electrostatic_inter,dr_vanderwaals_inter,UniProtID,pIspG,length,aa_A,aa_C,aa_D,aa_E,aa_F,aa_G,aa_H,aa_I,aa_K,aa_L,aa_M,aa_N,aa_P,aa_Q,aa_R,aa_S,aa_T,aa_V,aa_W,aa_Y,neg_charged_aa,pos_charged_aa,hydrophobic_aa,molecular_weight,isoelectric_point,aromaticity,instability_index,organism,GO:0005506,GO:0005829,GO:0009055,GO:0016114,GO:0019288,GO:0046429,GO:0046872,GO:0051539,GO:0141197,RMSE,binding_site_opening,CL_FLDA_A,CL_FLDA_B,Sphere10_length,Sphere10_aa_A,Sphere10_aa_C,Sphere10_aa_D,Sphere10_aa_E,Sphere10_aa_F,Sphere10_aa_G,Sphere10_aa_H,Sphere10_aa_I,Sphere10_aa_K,Sphere10_aa_L,Sphere10_aa_M,Sphere10_aa_N,Sphere10_aa_P,Sphere10_aa_Q,Sphere10_aa_R,Sphere10_aa_S,Sphere10_aa_T,Sphere10_aa_V,Sphere10_aa_W,Sphere10_aa_Y,Sphere10_neg_charged_aa,Sphere10_pos_charged_aa,Sphere10_hydrophobic_aa,Sphere10_molecular_weight,phylo_dist
CCQ91393.1,0.6294,4000000034.9464,14.9883,19,180.5,2246.42,5933.135,0.0609460372030204,0.0332432930198293,0.1080176806433789,0.0831082325495733,0.0554054883663822,0.0831082325495733,0.0277027441831911,0.0526582356191294,0.0720271348762968,0.0443243906931057,0.0166216465099146,0.0387838418564675,0.0443243906931057,0.0332432930198293,0.0277027441831911,0.0443243906931057,0.0636932899502732,0.0526121922769967,0.0221621953465528,0.035990545767082,0.4321628092577813,0.2492786543065872,0.1911259131929523,0.1274326232426791,711.0,20369.050000000003,-11.5,214.5,125.0,13.0,34.0,31.0,0.0,24.0,12.0,24.0,7.0,26.0,8.0,179.0,23.0,-34.5,5.720000000000001,0.5828296882473151,0.1899500624219725,13449.9,16460.595,M1Z076,-,387,7.751937984496124,1.8087855297157625,8.010335917312661,8.2687338501292,2.3255813953488373,7.493540051679587,1.550387596899225,8.785529715762273,7.493540051679587,7.493540051679587,2.0671834625323,3.617571059431525,4.651162790697675,2.0671834625323,6.2015503875969,5.426356589147287,4.651162790697675,7.235142118863049,0.516795865633075,2.5839793281653747,16.27906976744186,15.245478036175712,31.26614987080104,42816.4049,5.34294490814209,0.0542635658914728,43.1343669250646,Nitrospina gracilis 3/211,1,0,0,1,1,1,0,1,1,15.976851463317873,9.061967228586994,17.117194525127044,17.003879374009603,80.0,7.5,5.0,7.5,5.0,3.75,10.0,1.25,6.25,6.25,8.75,3.75,5.0,3.75,1.25,5.0,2.5,6.25,8.75,1.25,1.25,12.5,12.5,31.25,8715.0487,0.737721021611002
WP_002810560.1,0.6307,4000000035.8803,12.1096,19,175.0,2251.99,5692.51,0.0686521298505998,0.0370884958645264,0.100019614894243,0.0743731406714832,0.0457680865670665,0.0741769917290529,0.0400470757461832,0.0512929484455196,0.0572101082088332,0.0455719376246363,0.0084834417601098,0.0400470757461832,0.0457680865670665,0.0313674850436431,0.0457680865670665,0.0400470757461832,0.0629311190297165,0.0512929484455196,0.0228840432835332,0.0572101082088332,0.4138906142731047,0.2686913596390859,0.1743927555657262,0.1430252705220831,711.5,20019.5,-5.5,200.0,134.0,10.0,34.0,21.0,0.0,6.0,18.0,37.0,11.0,37.0,1.0,175.0,25.0,-30.5,5.82,0.6700757670475856,0.1962174940898345,13112.98,711.82,Q3JAC5,-,381,8.923884514435695,2.099737532808399,7.349081364829396,6.824146981627297,1.837270341207349,7.086614173228346,2.099737532808399,7.874015748031496,4.986876640419948,8.398950131233596,1.574803149606299,3.674540682414698,4.986876640419948,3.4120734908136483,6.824146981627297,5.511811023622047,5.511811023622047,8.136482939632545,0.5249343832020997,2.3622047244094486,14.173228346456693,13.910761154855644,33.33333333333333,41780.13310000004,5.507323265075683,0.0472440944881889,32.558267716535426,Nitrosococcus oceani,1,0,0,1,1,1,0,1,1,10.278060913085938,9.05595807013296,18.590522594784133,18.82645572148061,81.0,7.4074074074074066,4.938271604938271,6.172839506172839,4.938271604938271,1.2345679012345678,9.876543209876544,1.2345679012345678,6.172839506172839,4.938271604938271,11.11111111111111,2.469135802469136,4.938271604938271,3.7037037037037033,1.2345679012345678,3.7037037037037033,8.641975308641975,4.938271604938271,7.4074074074074066,1.2345679012345678,3.7037037037037033,11.11111111111111,9.876543209876544,32.098765432098766,8677.872899999998,0.742923742923743
EAQ77076.1,0.6478,4000000035.8541,14.1179,19,178.0,2242.925,6005.885,0.0730429292929293,0.0337121212121212,0.1011363636363636,0.0955176767676767,0.0505681818181818,0.0786616161616161,0.0280934343434343,0.0364898989898989,0.0561868686868686,0.0561868686868686,0.0140151515151515,0.0505681818181818,0.0505681818181818,0.0364898989898989,0.0421085858585858,0.0280934343434343,0.0505681818181818,0.0449494949494949,0.0224747474747474,0.0505681818181818,0.4269570707070707,0.25,0.1966540404040404,0.1263888888888888,722.0,20354.25,-12.5,213.0,130.5,14.0,35.0,24.0,2.0,10.0,14.0,40.0,9.0,28.0,2.0,178.0,22.5,-35.0,5.725,0.6126124140363252,0.1967741935483871,12794.305,147.025,A4A2B0,+/-,381,9.711286089238843,2.099737532808399,7.874015748031496,6.561679790026247,1.837270341207349,7.349081364829396,2.099737532808399,7.086614173228346,4.199475065616798,8.398950131233596,1.574803149606299,4.724409448818897,4.724409448818897,3.674540682414698,7.349081364829396,4.461942257217848,4.724409448818897,8.923884514435695,0.5249343832020997,2.099737532808399,14.435695538057743,13.648293963254591,34.120734908136484,41709.88390000005,5.324813270568847,0.0446194225721784,28.322047244094485,Blastopirellula marina DSM 3645,1,0,0,1,1,1,0,1,1,17.3603572845459,10.246656783560889,17.67426692576304,18.12886615497173,78.0,6.41025641025641,5.128205128205128,7.6923076923076925,7.6923076923076925,5.128205128205128,8.974358974358974,0.0,6.41025641025641,1.282051282051282,10.256410256410255,2.564102564102564,6.41025641025641,5.128205128205128,1.282051282051282,6.41025641025641,5.128205128205128,3.8461538461538463,7.6923076923076925,1.282051282051282,1.282051282051282,15.384615384615383,7.6923076923076925,30.76923076923077,8564.6737,0.7158560959360427
WP_012911045.1,0.632,4000000036.6735,14.1695,19,364.5,4161.575,10570.085,0.0740742134577751,0.0178307993376486,0.1069960861056751,0.0617266295348487,0.030178383260575,0.0740742134577751,0.0315482462742736,0.0631002559084751,0.057613277133825,0.0699608610567514,0.0109739575493,0.030178383260575,0.04938280897185,0.0329218726479,0.0507564353454764,0.0548697877465,0.0562396507601987,0.0836783079933764,0.013717446936625,0.030178383260575,0.4691404485925033,0.2222188770133975,0.1687227156405238,0.1399179587535752,1388.0,40422.0,-10.5,395.5,269.5,19.0,47.0,57.0,53.0,35.0,32.0,47.0,13.0,20.0,10.0,333.0,51.0,-61.5,5.88,0.6815028643036162,0.1411278683792755,24813.93,106445238.56,D2R1R3,-,380,8.68421052631579,2.1052631578947367,7.631578947368421,5.789473684210527,1.5789473684210529,6.578947368421052,2.8947368421052637,6.578947368421052,5.263157894736842,8.157894736842106,2.1052631578947367,4.2105263157894735,4.736842105263158,4.2105263157894735,6.578947368421052,6.052631578947368,5.263157894736842,8.421052631578947,0.5263157894736842,2.631578947368421,13.421052631578949,14.736842105263156,31.84210526315789,41864.09360000006,6.023307609558105,0.0473684210526315,30.7278947368421,Pirellula staleyi,1,0,0,1,1,1,0,1,1,25.1329345703125,10.335668692278828,36.866333814802005,36.93615390100277,139.5,8.602261048304214,2.867420349434738,6.45169578622816,6.091983556012333,2.1505652620760536,8.602261048304214,0.0,9.3191161356629,4.301130524152107,10.752826310380268,2.1505652620760536,3.584275436793422,4.301130524152107,4.301130524152107,5.734840698869476,5.734840698869476,3.584275436793422,8.602261048304214,0.7168550873586845,2.1505652620760536,12.543679342240493,10.035971223021583,37.2764645426516,15112.853299999988,0.7529920212765957
EOA62006.1,0.6,1000000037.7445,22.0816,15,212.0,2624.99,6565.82,0.0706827845677775,0.0377568512210868,0.0896725216500812,0.0755137024421736,0.0471960640263585,0.1155747011286983,0.0141588192079075,0.058939424297068,0.0518043589572341,0.058939424297068,0.0141588192079075,0.0519156704289944,0.0330372448184509,0.0283176384158151,0.0400609986865246,0.0519156704289944,0.0400609986865246,0.0636590306997039,0.0188784256105434,0.0377568512210868,0.4810659186535764,0.2477236804025022,0.1651862240922549,0.1060241768516663,788.5,23297.45,-12.5,224.0,144.0,6.0,23.0,31.0,12.0,48.0,14.0,33.0,21.0,23.0,6.0,217.0,22.5,-35.0,5.76,0.6427503736920777,0.1062820512820512,15028.345,2354.7250000000004,S6G5D3,-,400,8.25,2.0,5.25,6.0,2.25,10.25,1.7500000000000002,6.0,7.000000000000001,8.75,3.0,4.25,3.0,2.5,4.5,7.249999999999999,3.5000000000000004,11.75,0.5,2.25,11.25,13.25,34.75,42806.01110000002,7.563246345520021,0.05,28.390750000000004,Anaplasma phagocytophilum str. CRT38,1,0,0,1,1,1,0,1,0,2.1053502559661865,9.809646559943973,15.48576493934321,15.848668879490138,87.0,6.896551724137931,4.597701149425287,3.4482758620689653,5.747126436781609,3.4482758620689653,11.494252873563218,1.1494252873563218,4.597701149425287,5.747126436781609,6.896551724137931,4.597701149425287,5.747126436781609,3.4482758620689653,4.597701149425287,2.2988505747126435,6.896551724137931,4.597701149425287,10.344827586206897,0.0,3.4482758620689653,9.195402298850574,9.195402298850574,28.735632183908045,9289.606499999998,0.7549691569568198
AAS82019.1,0.6229,1000000040.7793,0.0,15,213.5,2654.335,6554.355,0.0749451513821851,0.0234203598069328,0.0843132953049583,0.086671785870996,0.0515247915752523,0.1124177270732777,0.032788503729706,0.0632185168933743,0.0515247915752523,0.0725866608161474,0.0234203598069328,0.032788503729706,0.0468407196138657,0.0187362878455462,0.0468407196138657,0.0374725756910925,0.0538503729706011,0.0397981570864414,0.0140522158841597,0.032788503729706,0.4988043001316367,0.1990566037735849,0.1709850811759543,0.131154014918824,810.5,23658.95,-8.5,221.0,141.5,14.0,31.0,45.0,9.0,42.0,17.0,21.0,11.0,38.0,6.0,234.0,28.0,-36.5,5.835,0.6402948402948403,0.132538056206089,13363.325,746363.895,Q72H18,-,406,11.330049261083744,0.7389162561576355,3.201970443349754,10.344827586206897,2.2167487684729066,8.620689655172415,2.4630541871921183,3.940886699507389,5.41871921182266,11.083743842364532,2.4630541871921183,1.7241379310344829,6.65024630541872,1.477832512315271,7.881773399014778,3.940886699507389,5.172413793103448,8.866995073891626,0.7389162561576355,1.7241379310344829,13.546798029556651,15.763546798029555,35.221674876847295,44216.59150000002,6.827465629577637,0.0467980295566502,35.67339901477831,Thermus thermophilus HB27,1,0,0,1,1,1,0,1,1,1.332635521888733,11.08851286789649,18.452656584840025,18.58474255587206,90.0,8.88888888888889,3.333333333333333,1.1111111111111112,12.22222222222222,3.333333333333333,12.22222222222222,2.2222222222222223,4.444444444444445,5.555555555555555,10.0,1.1111111111111112,1.1111111111111112,6.666666666666667,2.2222222222222223,3.333333333333333,5.555555555555555,5.555555555555555,8.88888888888889,0.0,2.2222222222222223,13.333333333333334,11.11111111111111,32.22222222222222,9499.788899999996,0.7186248331108145
WP_011529847.1,0.6088,1000000041.7285,1.542,15,213.5,2757.035,6059.79,0.081971892841458,0.0210254721124286,0.0796991655687307,0.0656346069389547,0.0468818620992534,0.1078282828282828,0.0328173034694773,0.0561155028546332,0.0397782169521299,0.053842775581906,0.0232981993851559,0.0491545893719806,0.0515700483091787,0.0375054896794027,0.0397782169521299,0.042193675889328,0.0703227931488801,0.0467391304347826,0.014064558629776,0.0397782169521299,0.4823122529644269,0.2599802371541502,0.1453337725076855,0.1123737373737373,798.5,23479.5,-7.0,224.5,147.5,10.0,28.0,41.0,14.0,47.0,15.0,32.0,32.0,29.0,5.0,253.0,24.0,-31.0,5.8100000000000005,0.6568812254454541,0.1123188405797101,14970.275,80155116.75,Q1J0H8,-,424,9.669811320754718,0.9433962264150944,4.245283018867925,6.367924528301887,1.4150943396226416,8.49056603773585,2.5943396226415096,4.481132075471698,3.537735849056604,9.433962264150944,3.0660377358490565,3.0660377358490565,6.839622641509433,4.716981132075472,6.367924528301887,5.188679245283019,6.60377358490566,8.962264150943396,1.179245283018868,2.8301886792452837,10.61320754716981,12.5,32.54716981132076,46134.273000000016,6.434139823913574,0.0542452830188679,34.32311320754717,Deinococcus geothermalis,1,0,0,1,1,1,0,1,1,1.8230489492416384,11.113992903705704,16.883008592727318,16.481630901031483,95.0,5.263157894736842,3.1578947368421053,5.263157894736842,4.2105263157894735,3.1578947368421053,10.526315789473683,1.0526315789473684,6.315789473684211,4.2105263157894735,7.368421052631578,3.1578947368421053,2.1052631578947367,8.421052631578947,7.368421052631578,5.263157894736842,5.263157894736842,7.368421052631578,7.368421052631578,1.0526315789473684,2.1052631578947367,9.473684210526317,10.526315789473683,26.31578947368421,10333.77299999999,0.7503196930946292
ABF40425.1,0.6268,1000000039.232,3.657,15,229.0,2722.155,6471.54,0.078604118993135,0.0262013729977116,0.106998474446987,0.0633104500381388,0.0545957284515636,0.100438596491228,0.021834477498093,0.0524027459954233,0.0567696414950419,0.0545766590389016,0.0305682684973302,0.0458428680396643,0.0393020594965675,0.021834477498093,0.0393020594965675,0.0349351639969488,0.0655034324942791,0.0480358504958047,0.0131006864988558,0.0458428680396643,0.47162471395881,0.2401601830663615,0.1703089244851258,0.1179061784897025,874.0,25481.95,-12.0,248.5,156.5,16.0,22.0,43.0,10.0,58.0,18.0,43.0,29.0,20.0,2.0,261.0,27.0,-39.0,5.77,0.6297651821862349,0.0843518627335762,16783.515,473587.125,Q1IRS5,-,413,9.20096852300242,1.452784503631961,6.5375302663438255,5.569007263922518,1.694915254237288,7.990314769975787,1.452784503631961,6.779661016949152,6.5375302663438255,7.506053268765134,3.389830508474576,4.116222760290557,4.358353510895883,3.87409200968523,5.326876513317192,4.358353510895883,6.053268765133172,10.16949152542373,0.7263922518159807,2.905569007263922,12.106537530266344,13.317191283292978,33.65617433414044,45073.423900000016,6.623356819152832,0.0532687651331719,27.518159806295397,Candidatus Koribacter versatilis Ellin345,1,0,0,1,1,1,0,1,1,1.1611489057540894,11.04197981982589,15.589696491676946,15.921904921745618,89.0,5.617977528089887,3.3707865168539324,2.247191011235955,8.98876404494382,4.49438202247191,10.112359550561797,1.1235955056179776,6.741573033707865,5.617977528089887,5.617977528089887,3.3707865168539324,3.3707865168539324,6.741573033707865,4.49438202247191,4.49438202247191,4.49438202247191,8.98876404494382,8.98876404494382,0.0,1.1235955056179776,11.235955056179774,11.235955056179774,26.96629213483146,9640.019799999996,0.7167854828256643
AAU91397.1,0.6178,1000000040.2375,2.2717,15,184.5,2082.225,5989.655000000001,0.0623127093248722,0.0297902344438568,0.1002555966860567,0.0867265996827075,0.0650449497620306,0.1138286620835536,0.0189934778776661,0.0379428873611845,0.0433632998413537,0.0460514718843645,0.0108408249603384,0.048783712321523,0.048783712321523,0.0379428873611845,0.0325224748810153,0.0433632998413537,0.0704653622421998,0.048783712321523,0.0162612374405076,0.0379428873611845,0.4498501674598977,0.2682883835713027,0.1869821963687643,0.0948792526000352,699.5,20406.85,-17.0,222.5,120.5,3.0,25.0,26.0,0.0,34.0,11.0,27.0,10.0,17.0,2.0,155.0,17.5,-34.5,5.63,0.5416127989657402,0.1607083194119612,10054.085,90.14,Q604Q5,+,407,8.5995085995086,1.9656019656019657,4.422604422604422,7.616707616707617,2.211302211302211,9.582309582309582,1.9656019656019657,5.651105651105651,3.6855036855036856,8.353808353808354,2.9484029484029484,3.194103194103194,4.914004914004914,4.668304668304668,7.862407862407863,5.896805896805897,4.914004914004914,9.336609336609335,0.4914004914004914,1.71990171990172,12.03931203931204,13.513513513513514,31.941031941031937,44250.16960000006,6.482964515686036,0.0442260442260442,44.54938574938574,Methylococcus capsulatus str. Bath,1,0,0,1,1,1,0,1,1,1.456937313079834,11.009067312763754,18.36347389819897,17.975483381423086,90.0,5.555555555555555,3.333333333333333,4.444444444444445,6.666666666666667,3.333333333333333,11.11111111111111,2.2222222222222223,5.555555555555555,4.444444444444445,5.555555555555555,3.333333333333333,3.333333333333333,6.666666666666667,6.666666666666667,2.2222222222222223,4.444444444444445,7.777777777777778,11.11111111111111,0.0,2.2222222222222223,11.11111111111111,8.88888888888889,27.77777777777778,9621.8718,0.7209379128137384
ADC62931.1,0.6229,1000000038.8603,2.2717,15,195.0,2199.885,6429.094999999999,0.0718421052631579,0.0307894736842105,0.0897368421052631,0.0821052631578947,0.0589473684210526,0.1127631578947368,0.0307894736842105,0.0461842105263157,0.0410526315789473,0.0538157894736842,0.0153947368421052,0.0410526315789473,0.0410526315789473,0.0307894736842105,0.0359210526315789,0.0538157894736842,0.0692105263157894,0.0434210526315789,0.0153947368421052,0.0359210526315789,0.4588157894736842,0.261578947368421,0.1718421052631579,0.1077631578947368,730.5,21467.0,-12.5,223.0,127.0,2.0,29.0,25.0,4.0,36.0,14.0,22.0,8.0,25.0,5.0,170.0,21.0,-33.5,5.705,0.5696095588679018,0.1708333333333333,11408.555,6029.665,D3RUS2,-,412,10.436893203883496,1.699029126213592,4.854368932038835,6.796116504854369,1.699029126213592,9.70873786407767,1.9417475728155336,5.339805825242718,3.155339805825242,6.796116504854369,4.12621359223301,2.4271844660194173,4.854368932038835,5.097087378640777,7.038834951456311,5.825242718446602,6.067961165048544,8.980582524271846,0.4854368932038834,2.669902912621359,11.650485436893204,12.135922330097088,31.55339805825243,44433.19340000004,5.838524055480956,0.0485436893203883,41.17815533980583,Allochromatium vinosum DSM 180,1,0,0,1,1,1,0,1,1,1.3674514293670654,11.103650796457671,17.241548917456917,17.84337194831544,89.0,8.98876404494382,3.3707865168539324,3.3707865168539324,5.617977528089887,2.247191011235955,13.48314606741573,2.247191011235955,4.49438202247191,5.617977528089887,4.49438202247191,5.617977528089887,2.247191011235955,6.741573033707865,4.49438202247191,2.247191011235955,5.617977528089887,6.741573033707865,10.112359550561797,0.0,2.247191011235955,8.98876404494382,10.112359550561797,28.08988764044944,9238.5634,0.7326411421155095
