,col_name,feature_importance_vals
20,dr_res_type_13,0.0967373041327556
37,dr_irc_negative_positive,0.08655222704420616
94,Sphere18_aa_D,0.06563429070178915
38,dr_irc_nonpolar_negative,0.05658632721760709
30,dr_polarity_3,0.04607481390392356
36,dr_irc_negative_negative,0.044140355812904306
12,dr_res_type_5,0.03345444541418432
34,dr_hb_acceptors,0.024299825976513135
45,dr_irc_positive_positive,0.014207781845198404
4,dr_interface_size,0.0
9,dr_res_type_2,0.0
10,dr_res_type_3,0.0
3,gaps_bind,0.0
11,dr_res_type_4,0.0
13,dr_res_type_6,0.0
7,dr_res_type_0,0.0
5,dr_bsa,0.0
8,dr_res_type_1,0.0
2,penalty_top50,0.0
1,penalty_bind,0.0
6,dr_sasa,0.0
19,dr_res_type_12,0.0
18,dr_res_type_11,0.0
17,dr_res_type_10,0.0
16,dr_res_type_9,0.0
14,dr_res_type_7,0.0
15,dr_res_type_8,0.0
25,dr_res_type_18,0.0
21,dr_res_type_14,0.0
28,dr_polarity_1,0.0
27,dr_polarity_0,0.0
26,dr_res_type_19,0.0
29,dr_polarity_2,0.0
32,dr_res_mass,0.0
22,dr_res_type_15,0.0
23,dr_res_type_16,0.0
24,dr_res_type_17,0.0
35,dr_hb_donors,0.0
33,dr_res_charge,0.0
31,dr_res_size,0.0
39,dr_irc_nonpolar_nonpolar,0.0
41,dr_irc_nonpolar_positive,0.0
42,dr_irc_polar_negative,0.0
43,dr_irc_polar_polar,0.0
40,dr_irc_nonpolar_polar,0.0
44,dr_irc_polar_positive,0.0
46,dr_irc_total,0.0
47,dr_res_charge_positive,0.0
48,dr_res_charge_negative,0.0
49,dr_res_pI,0.0
50,dr_hb_donor_acceptor_ratio,0.0
51,dr_salt_bridges,0.0
0,pid_total,0.0
52,dr_electrostatic_inter,0.0
53,dr_vanderwaals_inter,0.0
55,aa_A,0.0
54,length,0.0
57,aa_D,0.0
58,aa_E,0.0
59,aa_F,0.0
56,aa_C,0.0
61,aa_H,0.0
62,aa_I,0.0
63,aa_K,0.0
64,aa_L,0.0
65,aa_M,0.0
66,aa_N,0.0
67,aa_P,0.0
60,aa_G,0.0
69,aa_R,0.0
70,aa_S,0.0
71,aa_T,0.0
72,aa_V,0.0
73,aa_W,0.0
74,aa_Y,0.0
75,neg_charged_aa,0.0
76,pos_charged_aa,0.0
77,hydrophobic_aa,0.0
78,molecular_weight,0.0
79,isoelectric_point,0.0
80,aromaticity,0.0
81,instability_index,0.0
82,GO:0005506,0.0
83,GO:0005829,0.0
68,aa_Q,0.0
84,GO:0009055,0.0
85,GO:0046872,0.0
87,RMSE,0.0
86,GO:0141197,0.0
89,CL_FLDA_A,0.0
90,CL_FLDA_B,0.0
91,Sphere18_length,0.0
88,binding_site_opening,0.0
92,Sphere18_aa_A,0.0
93,Sphere18_aa_C,0.0
95,Sphere18_aa_E,0.0
96,Sphere18_aa_F,0.0
97,Sphere18_aa_G,0.0
98,Sphere18_aa_H,0.0
99,Sphere18_aa_I,0.0
100,Sphere18_aa_K,0.0
101,Sphere18_aa_L,0.0
102,Sphere18_aa_M,0.0
103,Sphere18_aa_N,0.0
104,Sphere18_aa_P,0.0
105,Sphere18_aa_Q,0.0
106,Sphere18_aa_R,0.0
107,Sphere18_aa_S,0.0
108,Sphere18_aa_T,0.0
109,Sphere18_aa_V,0.0
110,Sphere18_aa_W,0.0
111,Sphere18_aa_Y,0.0
112,Sphere18_neg_charged_aa,0.0
113,Sphere18_pos_charged_aa,0.0
114,Sphere18_hydrophobic_aa,0.0
115,Sphere18_molecular_weight,0.0
116,phylo_dist,0.0
