,col_name,feature_importance_vals
93,Sphere10_aa_D,0.008755325858703882
114,phylo_dist,0.007717335869326268
0,pid_total,0.005858879607602174
107,Sphere10_aa_T,0.005523311272715342
101,Sphere10_aa_M,0.005416858565610284
10,res_type_3_pct,0.004291608353044618
61,aa_H,0.0038445503951881565
30,polarity_3_pct,0.00384024272001232
57,aa_D,0.003508856602760054
95,Sphere10_aa_F,0.003390453820166748
44,irc_polar_positive_sum,0.0032572982719957433
37,irc_negative_positive_sum,0.0030067985334327712
64,aa_L,0.002758986420183722
18,res_type_11_pct,0.00266663419803868
103,Sphere10_aa_P,0.0026444204906240338
9,res_type_2_pct,0.0025490797826272647
25,res_type_18_pct,0.0024784499597982623
98,Sphere10_aa_I,0.002340847037740177
54,length,0.0023013073554912626
77,molecular_weight,0.002295531606955385
82,GO:0005829,0.0022746535037038193
99,Sphere10_aa_K,0.0021902855702016816
97,Sphere10_aa_H,0.0021292766463394323
87,binding_site_opening,0.0021265226187473655
68,aa_Q,0.0021091707954453997
111,Sphere10_charged_aa,0.0020997018176451103
33,res_charge_sum,0.002063597013564117
63,aa_K,0.002043843142730545
102,Sphere10_aa_N,0.0020386576531466667
65,aa_M,0.001985154842924686
53,vanderwaals_inter_sum,0.00193369287083833
113,Sphere10_molecular_weight,0.0019050350117111026
13,res_type_6_pct,0.0019039855277943206
48,res_charge_negative_sum,0.001888417436622253
72,aa_V,0.001847659772168508
75,charged_aa,0.001831636285996061
40,irc_nonpolar_polar_sum,0.0018199159866176342
86,RMSE,0.0018088393555700318
69,aa_R,0.0018013140713188673
58,aa_E,0.0017660511107497553
104,Sphere10_aa_Q,0.001737286634470045
38,irc_nonpolar_negative_sum,0.0017349505783209045
52,electrostatic_inter_sum,0.0016592053246373294
100,Sphere10_aa_L,0.0016532798270437242
59,aa_F,0.0016492301555880147
6,sasa,0.001628964095438349
20,res_type_13_pct,0.0016188151120129707
4,interface_size,0.001611077464754902
17,res_type_10_pct,0.0015876087133139083
78,isoelectric_point,0.001577126386051518
34,hb_acceptors_sum,0.0015535737744244952
36,irc_negative_negative_sum,0.0015256814822950007
43,irc_polar_polar_sum,0.0015032087520140223
70,aa_S,0.0014937522173447246
29,polarity_2_pct,0.0014781478801555177
32,res_mass_sum,0.0014604296865445645
71,aa_T,0.0014506369520031431
91,Sphere10_aa_A,0.0013778221222146714
41,irc_nonpolar_positive_sum,0.0013601880191712724
112,Sphere10_hydrophobic_aa,0.0013255762426533887
56,aa_C,0.0013097469394426796
35,hb_donors_sum,0.001303910944403993
90,Sphere10_length,0.0013022798973662774
8,res_type_1_pct,0.0013022524842785312
27,polarity_0_pct,0.001295302195939718
19,res_type_12_pct,0.0012641948024910141
15,res_type_8_pct,0.001256341635883224
22,res_type_15_pct,0.0012404568112851567
23,res_type_16_pct,0.0012262245459681693
108,Sphere10_aa_V,0.0012158994360337476
2,penalty_top50,0.0012123574202596806
46,irc_total_sum,0.0011945076303199124
109,Sphere10_aa_W,0.0011928732433093164
24,res_type_17_pct,0.0011902722833747024
16,res_type_9_pct,0.0011179748757834996
74,aa_Y,0.001098348702351883
105,Sphere10_aa_R,0.0010300681091201128
21,res_type_14_pct,0.0010254089416652362
31,res_size_sum,0.0010223464872790833
94,Sphere10_aa_E,0.001010423067141411
67,aa_P,0.0010017805574247397
11,res_type_4_pct,0.0009839421775344464
45,irc_positive_positive_sum,0.0009099620074065406
73,aa_W,0.00088878553289712
5,bsa,0.0008816967674017217
62,aa_I,0.0008722884897942934
3,gaps_bind,0.0008709964988603833
51,salt_bridges,0.0008366761710182062
85,GO:0141197,0.0008202408470479309
76,hydrophobic_aa,0.000788372441746509
66,aa_N,0.0007873058217582348
92,Sphere10_aa_C,0.0007680359477821921
96,Sphere10_aa_G,0.0007644336076908392
89,CL_FLDA_B,0.0007498658658851728
79,aromaticity,0.0007415820172303483
49,res_pI_mean,0.0007307082817538414
81,GO:0005506,0.0007280896621647111
42,irc_polar_negative_sum,0.0007090449428472778
14,res_type_7_pct,0.0006777312300433757
28,polarity_1_pct,0.0006297119871239435
12,res_type_5_pct,0.0006156901260012553
47,res_charge_positive_sum,0.0006104818131032275
50,hb_donor_acceptor_ratio,0.0005087064521989034
26,res_type_19_pct,0.0004794089776631799
55,aa_A,0.0004372889993070583
80,instability_index,0.00043068212617382
60,aa_G,0.0003955831064943929
84,GO:0046872,0.0003828936664607714
1,penalty_bind,0.0003715809893600706
88,CL_FLDA_A,0.00031284325611551686
39,irc_nonpolar_nonpolar_sum,0.00030806644844319264
7,res_type_0_pct,0.00026874554219257624
83,GO:0009055,9.214103057716715e-05
106,Sphere10_aa_S,3.5818471302908574e-05
110,Sphere10_aa_Y,2.739243344809356e-05
