,col_name,feature_importance_vals
93,Sphere10_aa_D,0.11815347065658498
30,polarity_3_pct,0.01682533327219275
68,aa_Q,0.011846170252643222
25,res_type_18_pct,0.009966371311153056
105,Sphere10_aa_R,0.009597539791317139
111,Sphere10_charged_aa,0.00859895432865485
6,sasa,0.006868861302514992
23,res_type_16_pct,0.006703980288541145
41,irc_nonpolar_positive_sum,0.006134275339696971
94,Sphere10_aa_E,0.005800778859754226
24,res_type_17_pct,0.005332531496893421
32,res_mass_sum,0.0051131250562467916
87,binding_site_opening,0.004887094000348105
14,res_type_7_pct,0.004559656284266607
34,hb_acceptors_sum,0.004385340846475467
21,res_type_14_pct,0.004258419368823138
88,CL_FLDA_A,0.004192294532173085
29,polarity_2_pct,0.0041815191640535865
98,Sphere10_aa_I,0.004156144001653156
114,phylo_dist,0.004087665220272056
12,res_type_5_pct,0.003687302078801699
99,Sphere10_aa_K,0.003631262251198983
31,res_size_sum,0.0034671154930756595
4,interface_size,0.0034423534383366903
43,irc_polar_polar_sum,0.0031364248450695144
38,irc_nonpolar_negative_sum,0.003128505431530115
96,Sphere10_aa_G,0.003095633387040252
28,polarity_1_pct,0.003068488914354213
107,Sphere10_aa_T,0.002859757531372792
22,res_type_15_pct,0.0028585987384766474
9,res_type_2_pct,0.0026990083444689665
33,res_charge_sum,0.0026520358507641597
52,electrostatic_inter_sum,0.0024723541309413875
51,salt_bridges,0.0024121680357076496
102,Sphere10_aa_N,0.00234384790563893
69,aa_R,0.0022686668845520903
80,instability_index,0.002118511685482737
8,res_type_1_pct,0.0020649236574091278
20,res_type_13_pct,0.0017912777901284906
100,Sphere10_aa_L,0.0017400875201982308
11,res_type_4_pct,0.0016455722621114496
89,CL_FLDA_B,0.001579084230695103
16,res_type_9_pct,0.0015303831697127753
62,aa_I,0.001522379799279713
35,hb_donors_sum,0.00146798042248279
101,Sphere10_aa_M,0.0014190111240123284
45,irc_positive_positive_sum,0.0013090896783220344
86,RMSE,0.0012633879945975427
72,aa_V,0.001262451385697018
59,aa_F,0.0012296875369936307
73,aa_W,0.0011380791247469293
75,charged_aa,0.0010612134240422604
104,Sphere10_aa_Q,0.0010419245113643435
64,aa_L,0.0010206698583258085
0,pid_total,0.0010138938704678227
70,aa_S,0.0009784119095468293
63,aa_K,0.0009653438937902031
57,aa_D,0.0009410821308163603
50,hb_donor_acceptor_ratio,0.0009122052817228254
55,aa_A,0.0009060897312693233
40,irc_nonpolar_polar_sum,0.000888954630800507
7,res_type_0_pct,0.0008715663498525763
58,aa_E,0.0008514152324238685
65,aa_M,0.0008076296703184486
61,aa_H,0.0007997490061914864
113,Sphere10_molecular_weight,0.000783514781480777
54,length,0.0007420624528010201
76,hydrophobic_aa,0.0007155803579206209
47,res_charge_positive_sum,0.0007086486155625815
92,Sphere10_aa_C,0.0007017996456498811
97,Sphere10_aa_H,0.0006889427693448764
36,irc_negative_negative_sum,0.0006393076178959626
10,res_type_3_pct,0.0006391402891399863
71,aa_T,0.0006275936545005642
74,aa_Y,0.0006048014773776539
90,Sphere10_length,0.0006040308891465721
78,isoelectric_point,0.0005995359226528133
42,irc_polar_negative_sum,0.0005863877854829924
26,res_type_19_pct,0.0005860079740933599
48,res_charge_negative_sum,0.000535404767484551
49,res_pI_mean,0.0005267104011731462
19,res_type_12_pct,0.0005056701391630289
27,polarity_0_pct,0.0005042132322633578
44,irc_polar_positive_sum,0.00047737035257565825
77,molecular_weight,0.0004549387574811157
103,Sphere10_aa_P,0.00044741972393251144
110,Sphere10_aa_Y,0.0004395609608014272
17,res_type_10_pct,0.0004385939732306676
60,aa_G,0.00037272214980174856
37,irc_negative_positive_sum,0.0003725095648038282
108,Sphere10_aa_V,0.0003192944535190023
66,aa_N,0.00027097094964131
106,Sphere10_aa_S,0.0002607199784714029
39,irc_nonpolar_nonpolar_sum,0.000254309018159434
46,irc_total_sum,0.00021725619717309475
109,Sphere10_aa_W,0.00018909784173916895
18,res_type_11_pct,0.0001516016425892542
81,GO:0005506,0.00013973860291510273
3,gaps_bind,0.00013143165340904068
95,Sphere10_aa_F,0.00010427407305504288
2,penalty_top50,0.0
13,res_type_6_pct,0.0
1,penalty_bind,0.0
15,res_type_8_pct,0.0
5,bsa,0.0
56,aa_C,0.0
53,vanderwaals_inter_sum,0.0
82,GO:0005829,0.0
79,aromaticity,0.0
67,aa_P,0.0
84,GO:0046872,0.0
91,Sphere10_aa_A,0.0
85,GO:0141197,0.0
83,GO:0009055,0.0
112,Sphere10_hydrophobic_aa,0.0
