,col_name,feature_importance_vals
114,phylo_dist,0.024278890422130092
93,Sphere10_aa_D,0.016291282595468387
107,Sphere10_aa_T,0.008969808583801687
30,polarity_3_pct,0.008415600877683154
0,pid_total,0.008072504409956646
103,Sphere10_aa_P,0.007972572474956361
3,gaps_bind,0.007585500766740955
95,Sphere10_aa_F,0.00660209525068784
9,res_type_2_pct,0.006585146775025152
6,sasa,0.0057204253776500825
102,Sphere10_aa_N,0.005701401688600911
111,Sphere10_charged_aa,0.005173332682023498
73,aa_W,0.0048627408043889885
29,polarity_2_pct,0.004819884339541875
91,Sphere10_aa_A,0.004699832244762884
16,res_type_9_pct,0.004617820080377575
43,irc_polar_polar_sum,0.004539696368804911
87,binding_site_opening,0.0041148917314863965
38,irc_nonpolar_negative_sum,0.004072856041601203
18,res_type_11_pct,0.004038532712182586
48,res_charge_negative_sum,0.003988074058186669
41,irc_nonpolar_positive_sum,0.003930163313035162
105,Sphere10_aa_R,0.0038834521526641247
11,res_type_4_pct,0.003860783756458508
104,Sphere10_aa_Q,0.0037500574477079187
57,aa_D,0.0037428132643494267
23,res_type_16_pct,0.003738879897741562
22,res_type_15_pct,0.003699643809506368
70,aa_S,0.0036850130920664053
20,res_type_13_pct,0.003447950792203783
99,Sphere10_aa_K,0.003383328974038118
33,res_charge_sum,0.00332545217540275
44,irc_polar_positive_sum,0.003256535977235437
108,Sphere10_aa_V,0.003213010029400225
27,polarity_0_pct,0.0032109485107508964
34,hb_acceptors_sum,0.0031702559014115937
25,res_type_18_pct,0.0030785243497777883
14,res_type_7_pct,0.0030492227632805896
10,res_type_3_pct,0.0030146314997860453
37,irc_negative_positive_sum,0.002951897003746538
58,aa_E,0.0028656598133583165
109,Sphere10_aa_W,0.0028125572874924385
31,res_size_sum,0.002757849754098937
32,res_mass_sum,0.002522800855374914
1,penalty_bind,0.0024359685232286307
55,aa_A,0.002367129481553784
80,instability_index,0.002348909468581266
98,Sphere10_aa_I,0.0022147916431592405
4,interface_size,0.002097060298430987
94,Sphere10_aa_E,0.0020732727174079093
97,Sphere10_aa_H,0.002037573958683499
51,salt_bridges,0.001997215799577452
62,aa_I,0.001951926713017214
40,irc_nonpolar_polar_sum,0.0019132699355205755
68,aa_Q,0.001881778415487539
50,hb_donor_acceptor_ratio,0.001877589583904415
71,aa_T,0.0018221812782089817
88,CL_FLDA_A,0.0018187291618173417
64,aa_L,0.0018006871290811109
17,res_type_10_pct,0.0017754091042212425
49,res_pI_mean,0.0017233674418782173
45,irc_positive_positive_sum,0.0016519848266852155
59,aa_F,0.0015830553991816182
61,aa_H,0.0015144010869804117
21,res_type_14_pct,0.001494964395067605
7,res_type_0_pct,0.0014791008947207945
63,aa_K,0.001451216238866333
5,bsa,0.001438308038507374
69,aa_R,0.0014296942475051113
47,res_charge_positive_sum,0.0014059376771037655
46,irc_total_sum,0.0013863885891590025
110,Sphere10_aa_Y,0.001363264091799145
101,Sphere10_aa_M,0.001265800632651431
24,res_type_17_pct,0.0012559283037517168
85,GO:0141197,0.0012375893550599293
96,Sphere10_aa_G,0.001213966128433558
82,GO:0005829,0.0012033368125194972
13,res_type_6_pct,0.0011977429346570556
12,res_type_5_pct,0.0011206987397586036
75,charged_aa,0.0011201052412935571
65,aa_M,0.0010885646478610153
86,RMSE,0.0010572699203069275
35,hb_donors_sum,0.0010147891941742187
106,Sphere10_aa_S,0.0009911432252696995
2,penalty_top50,0.0009462528122233332
112,Sphere10_hydrophobic_aa,0.0009452951459102677
42,irc_polar_negative_sum,0.0007640697172993417
76,hydrophobic_aa,0.0007490982170996562
15,res_type_8_pct,0.0007241928186597866
28,polarity_1_pct,0.0005288483271406831
36,irc_negative_negative_sum,0.000468170819791523
53,vanderwaals_inter_sum,0.00037382746367809817
72,aa_V,0.00028045670726634645
66,aa_N,0.00027126075188623573
83,GO:0009055,0.00027081830988092087
78,isoelectric_point,0.00026955822685464123
90,Sphere10_length,0.00026824155731645
8,res_type_1_pct,0.00026623636706991146
56,aa_C,0.00025781265556559953
54,length,0.000256562130874652
89,CL_FLDA_B,0.0002391930737848833
92,Sphere10_aa_C,0.00023114600305564168
81,GO:0005506,0.00022984296757189808
77,molecular_weight,0.00021990916887781889
74,aa_Y,0.0002190451321782725
113,Sphere10_molecular_weight,0.00019774426449394874
26,res_type_19_pct,0.0
39,irc_nonpolar_nonpolar_sum,0.0
19,res_type_12_pct,0.0
52,electrostatic_inter_sum,0.0
60,aa_G,0.0
79,aromaticity,0.0
67,aa_P,0.0
84,GO:0046872,0.0
100,Sphere10_aa_L,0.0
