,col_name,feature_importance_vals
94,Sphere20_aa_D,0.8014914
48,dr_res_charge_negative,0.51861656
102,Sphere20_aa_M,0.4813826
23,dr_res_type_16,0.42742342
112,Sphere20_neg_charged_aa,0.38540304
100,Sphere20_aa_K,0.3668453
64,aa_L,0.3610876
87,RMSE,0.34984073
21,dr_res_type_14,0.3410588
28,dr_polarity_1,0.25538358
70,aa_S,0.2376665
68,aa_Q,0.2088984
20,dr_res_type_13,0.18908805
29,dr_polarity_2,0.16454239
39,dr_irc_nonpolar_nonpolar,0.1592277
71,aa_T,0.1520321
45,dr_irc_positive_positive,0.14110276
103,Sphere20_aa_N,0.13166665
77,hydrophobic_aa,0.13012165
108,Sphere20_aa_T,0.114969164
97,Sphere20_aa_G,0.0733319
81,instability_index,0.07141847
19,dr_res_type_12,0.056876328
44,dr_irc_polar_positive,0.046850994
10,dr_res_type_3,0.046382707
98,Sphere20_aa_H,0.037030913
18,dr_res_type_11,0.019360768
17,dr_res_type_10,0.0
12,dr_res_type_5,0.0
27,dr_polarity_0,0.0
30,dr_polarity_3,0.0
31,dr_res_size,0.0
32,dr_res_mass,0.0
24,dr_res_type_17,0.0
25,dr_res_type_18,0.0
26,dr_res_type_19,0.0
22,dr_res_type_15,0.0
36,dr_irc_negative_negative,0.0
14,dr_res_type_7,0.0
15,dr_res_type_8,0.0
16,dr_res_type_9,0.0
13,dr_res_type_6,0.0
9,dr_res_type_2,0.0
11,dr_res_type_4,0.0
6,dr_sasa,0.0
4,dr_interface_size,0.0
3,gaps_bind,0.0
2,penalty_top50,0.0
1,penalty_bind,0.0
8,dr_res_type_1,0.0
5,dr_bsa,0.0
7,dr_res_type_0,0.0
0,pid_total,0.0
52,dr_electrostatic_inter,0.0
51,dr_salt_bridges,0.0
50,dr_hb_donor_acceptor_ratio,0.0
49,dr_res_pI,0.0
47,dr_res_charge_positive,0.0
46,dr_irc_total,0.0
42,dr_irc_polar_negative,0.0
43,dr_irc_polar_polar,0.0
37,dr_irc_negative_positive,0.0
38,dr_irc_nonpolar_negative,0.0
41,dr_irc_nonpolar_positive,0.0
40,dr_irc_nonpolar_polar,0.0
33,dr_res_charge,0.0
34,dr_hb_acceptors,0.0
35,dr_hb_donors,0.0
53,dr_vanderwaals_inter,0.0
67,aa_P,0.0
66,aa_N,0.0
65,aa_M,0.0
63,aa_K,0.0
73,aa_W,0.0
74,aa_Y,0.0
69,aa_R,0.0
54,length,0.0
60,aa_G,0.0
59,aa_F,0.0
62,aa_I,0.0
61,aa_H,0.0
57,aa_D,0.0
58,aa_E,0.0
55,aa_A,0.0
56,aa_C,0.0
84,GO:0009055,0.0
83,GO:0005829,0.0
82,GO:0005506,0.0
80,aromaticity,0.0
78,molecular_weight,0.0
79,isoelectric_point,0.0
75,neg_charged_aa,0.0
76,pos_charged_aa,0.0
72,aa_V,0.0
91,Sphere20_length,0.0
90,CL_FLDA_B,0.0
89,CL_FLDA_A,0.0
92,Sphere20_aa_A,0.0
85,GO:0046872,0.0
86,GO:0141197,0.0
88,binding_site_opening,0.0
99,Sphere20_aa_I,0.0
93,Sphere20_aa_C,0.0
95,Sphere20_aa_E,0.0
96,Sphere20_aa_F,0.0
104,Sphere20_aa_P,0.0
105,Sphere20_aa_Q,0.0
106,Sphere20_aa_R,0.0
101,Sphere20_aa_L,0.0
107,Sphere20_aa_S,0.0
109,Sphere20_aa_V,0.0
110,Sphere20_aa_W,0.0
111,Sphere20_aa_Y,0.0
113,Sphere20_pos_charged_aa,0.0
114,Sphere20_hydrophobic_aa,0.0
115,Sphere20_molecular_weight,0.0
116,phylo_dist,0.0
