ID,measurement_value
fold_aac07467_1_with_flda_model_0,0
fold_aac75568_1_with_flda_model_0,0
fold_aas82019_1_with_flda_model_0,0
fold_aat83253_1_with_flda_model_0,0
fold_aau91397_1_with_flda_model_0,0
fold_abc19357_1_with_flda_model_0,0
fold_abf40425_1_with_flda_model_0,0
fold_abk39186_1_with_flda_model_0,0
fold_abo67748_1_with_flda_model_0,0
fold_abz84822_1_with_flda_model_0,0
fold_acb51662_1_with_flda_model_0,0
fold_acc83392_1_with_flda_model_0,0
fold_acl21716_1_with_flda_model_0,0
fold_acl74833_1_with_flda_model_0,0
fold_acz19163_1_with_flda_model_0,0
fold_acz37901_1_with_flda_model_0,0
fold_axa34785_1_with_flda_model_0,0
fold_baa17717_1_with_flda_model_0,0
fold_bac08548_1_with_flda_model_0,0
fold_bac91563_1_with_flda_model_0,0
fold_bam02738_1_with_flda_model_0,0
fold_cab14437_1_with_flda_model_0,0
fold_ccq91393_1_with_flda_model_0,0
fold_eam48116_1_with_flda_model_0,0
fold_eaq77076_1_with_flda_model_0,0
fold_eau54713_1_with_flda_model_0,0
fold_eea90248_1_with_flda_model_0,0
fold_seh14556_1_with_flda_model_0,0
fold_wp_000892444_1_with_flda_model_0,0
fold_wp_002678768_1_with_flda_model_0,0
fold_wp_002810560_1_with_flda_model_0,0
fold_wp_006317886_1_with_flda_model_0,0
fold_wp_010049453_1_with_flda_model_0,0
fold_wp_011044983_1_with_flda_model_0,0
fold_wp_011281768_1_with_flda_model_0,0
fold_wp_011455057_1_with_flda_model_0,0
fold_wp_011479842_1_with_flda_model_0,0
fold_wp_011529847_1_with_flda_model_0,0
fold_wp_011870774_1_with_flda_model_0,0
fold_wp_012911045_1_with_flda_model_0,0
