Unnamed: 0,GenBankID,UniProtID,pIspG,length,aa_A,aa_C,aa_D,aa_E,aa_F,aa_G,aa_H,aa_I,aa_K,aa_L,aa_M,aa_N,aa_P,aa_Q,aa_R,aa_S,aa_T,aa_V,aa_W,aa_Y,charged_aa,hydrophobic_aa,cysteine_content,histidine_content,molecular_weight,isoelectric_point,aromaticity,instability_index,organism,index,GO:0005506,GO:0005829,GO:0009055,GO:0016114,GO:0016491,GO:0019288,GO:0046429,GO:0046872,GO:0051539,GO:0141197,RMSE
18,WP_012464304.1,B3DYH4,-,606,8.415841584158416,1.8151815181518156,7.260726072607261,5.445544554455446,3.7953795379537953,7.590759075907591,1.65016501650165,6.6006600660066,6.105610561056106,9.405940594059404,1.98019801980198,3.1353135313531357,5.9405940594059405,1.98019801980198,7.425742574257425,6.105610561056106,4.785478547854786,6.930693069306932,0.6600660066006601,2.9702970297029703,26.23762376237624,31.353135313531357,1.8151815181518156,1.65016501650165,67005.26810000025,8.466713523864748,0.0742574257425742,34.78036303630364,Methylacidiphilum infernorum,18,1,0,0,1,0,1,1,0,1,1,0.8261184692382812
19,ACE82628.1,B3PDM1,-,374,10.962566844919785,1.3368983957219251,6.417112299465241,5.88235294117647,1.8716577540106951,8.02139037433155,1.06951871657754,9.090909090909092,5.614973262032086,9.090909090909092,2.13903743315508,4.81283422459893,4.27807486631016,3.2085561497326207,6.684491978609626,4.545454545454546,4.010695187165775,9.358288770053475,0.267379679144385,1.3368983957219251,24.598930481283425,38.50267379679144,1.3368983957219251,1.06951871657754,40295.161600000014,6.921022605895996,0.03475935828877,38.28077540106952,Cellvibrio japonicus Ueda107,19,1,0,0,1,0,1,1,0,1,1,0.3552539348602295
20,EEA90248.1,B6GBY4,-,353,10.764872521246458,3.1161473087818696,6.515580736543909,6.232294617563739,1.69971671388102,10.198300283286118,1.69971671388102,6.515580736543909,2.549575070821529,8.21529745042493,1.69971671388102,1.41643059490085,5.6657223796034,2.549575070821529,6.515580736543909,5.382436260623229,5.6657223796034,12.46458923512748,0.56657223796034,0.56657223796034,21.813031161473088,37.96033994334277,3.1161473087818696,1.69971671388102,36921.040700000034,4.9741735458374015,0.0283286118980169,29.51246458923512,Collinsella stercoris DSM 13279,20,1,0,0,1,0,1,1,0,1,1,1.14214289188385
21,WP_006317886.1,B7GH89,+,364,12.362637362637363,1.3736263736263736,4.945054945054945,9.065934065934066,1.6483516483516485,8.241758241758241,2.197802197802198,10.989010989010987,7.6923076923076925,7.417582417582418,1.098901098901099,3.296703296703297,3.296703296703297,1.6483516483516485,6.318681318681318,4.12087912087912,4.12087912087912,8.241758241758241,0.0,1.9230769230769231,28.021978021978025,39.010989010989015,1.3736263736263736,2.197802197802198,39285.95459999999,7.095688819885253,0.0357142857142857,34.474450549450545,Anoxybacillus flavithermus,21,1,0,0,1,0,1,1,0,1,1,0.6832027435302734
22,ACL21716.1,B8FR29,-,364,9.34065934065934,1.6483516483516485,3.571428571428571,9.34065934065934,0.8241758241758242,10.43956043956044,2.197802197802198,7.142857142857142,5.494505494505495,12.087912087912088,1.9230769230769231,2.197802197802198,4.395604395604396,3.021978021978022,6.043956043956044,4.395604395604396,3.571428571428571,9.89010989010989,0.2747252747252747,2.197802197802198,24.45054945054945,38.46153846153847,1.6483516483516485,2.197802197802198,39129.038300000015,5.984600257873535,0.0329670329670329,37.720879120879104,Desulfitobacterium hafniense DCB-2,22,1,0,0,1,0,1,1,0,1,1,0.9352515935897828
23,ACL74833.1,B8I6E1,-,353,7.64872521246459,2.26628895184136,5.382436260623229,7.932011331444759,1.13314447592068,9.631728045325778,1.41643059490085,12.181303116147308,8.498583569405099,7.64872521246459,2.549575070821529,4.815864022662889,3.1161473087818696,1.69971671388102,4.2492917847025495,4.815864022662889,4.53257790368272,9.06515580736544,0.0,1.41643059490085,26.06232294617564,36.54390934844193,2.26628895184136,1.41643059490085,37930.82189999997,6.282095527648925,0.0254957507082152,26.09801699716713,Ruminiclostridium cellulolyticum H10,23,1,0,0,1,0,1,1,0,1,1,0.6817432641983032
24,ACU05649.1,C6XST6,-,644,7.763975155279502,1.2422360248447204,6.6770186335403725,6.055900621118012,2.484472049689441,7.453416149068323,1.8633540372670807,6.211180124223603,5.590062111801243,10.093167701863354,3.7267080745341614,4.658385093167702,3.7267080745341614,3.260869565217391,4.813664596273292,4.968944099378882,6.6770186335403725,7.298136645962733,0.4658385093167702,4.968944099378882,23.13664596273292,31.366459627329192,1.2422360248447204,1.8633540372670807,71624.21040000036,5.415528297424316,0.0791925465838509,24.660714285714263,Pedobacter heparinus DSM 2366,24,1,0,0,1,0,1,1,0,1,1,0.8063441514968872
26,WP_015771297.1,C7R3D3,-,383,12.532637075718014,1.3054830287206265,4.960835509138381,6.266318537859007,2.088772845953003,8.616187989556137,1.3054830287206265,6.78851174934726,6.005221932114883,6.78851174934726,2.088772845953003,2.349869451697128,6.78851174934726,3.133159268929504,4.43864229765013,6.266318537859007,5.221932114882506,11.22715404699739,0.5221932114882507,1.3054830287206265,21.671018276762403,37.33681462140992,1.3054830287206265,1.3054830287206265,40165.84940000001,6.043542289733887,0.0391644908616188,31.14412532637076,Jonesia denitrificans,26,1,0,0,1,0,1,1,0,1,1,1.1893677711486816
35,ADU96577.1,E8T5Z3,-,356,9.550561797752808,1.6853932584269662,2.808988764044944,10.112359550561797,2.808988764044944,9.269662921348315,1.9662921348314608,6.460674157303371,7.303370786516854,8.146067415730338,1.4044943820224718,2.528089887640449,3.932584269662921,1.4044943820224718,5.617977528089887,5.8988764044943816,3.932584269662921,12.921348314606742,0.8426966292134831,1.4044943820224718,25.842696629213485,37.07865168539326,1.6853932584269662,1.9662921348314608,38369.05610000001,7.058800315856933,0.0505617977528089,27.065168539325835,Thermovibrio ammonificans HB-1,35,1,0,0,1,0,1,1,0,1,1,1.3809095621109009
36,AEH44631.1,F8A8A2,-,358,9.497206703910614,1.3966480446927374,4.46927374301676,9.217877094972067,3.6312849162011176,9.497206703910614,1.3966480446927374,8.938547486033519,7.262569832402235,9.776536312849162,0.8379888268156425,3.35195530726257,4.189944134078212,1.9553072625698324,6.424581005586592,3.910614525139665,4.189944134078212,8.938547486033519,0.5586592178770949,0.5586592178770949,27.37430167597765,37.150837988826815,1.3966480446927374,1.3966480446927374,38820.5995,6.984113883972168,0.047486033519553,28.996089385474843,Thermodesulfatator indicus DSM 15286,36,1,0,0,1,0,1,1,0,1,1,1.304479718208313
