id,pid_total,penalty_bind,penalty_top50,gaps_bind
CCQ91393.1,0.6294,4000000034.9464,14.9883,19
WP_002810560.1,0.6307,4000000035.8803,12.1096,19
EAQ77076.1,0.6478,4000000035.8541,14.1179,19
WP_012911045.1,0.6320,4000000036.6735,14.1695,19
EOA62006.1,0.6000,1000000037.7445,22.0816,15
AAS82019.1,0.6229,1000000040.7793,0.0000,15
WP_011529847.1,0.6088,1000000041.7285,1.5420,15
ABF40425.1,0.6268,1000000039.2320,3.6570,15
AAU91397.1,0.6178,1000000040.2375,2.2717,15
ADC62931.1,0.6229,1000000038.8603,2.2717,15
WP_005223505.1,0.6229,1000000039.2141,2.2717,15
CAL93544.1,0.6114,1000000042.2964,0.0000,15
WP_011870774.1,0.6190,1000000040.3191,0.0000,15
WP_011137085.1,0.6088,1000000039.9542,0.0000,15
WP_011479842.1,0.6025,1000000039.7365,0.0000,15
EWC76322.1,0.2208,29.2259,4.7798,30
ALO15331.1,0.3655,27.8853,5.2857,30
ACX75977.1,0.4186,27.5247,14.0015,30
AAP05169.1,0.3849,28.4522,9.8046,30
WP_010883016.1,0.3915,28.5841,8.4192,30
WP_012464304.1,0.3896,28.6864,0.0000,30
ACU05649.1,0.3582,26.7400,2.0082,30
ADE56011.1,0.3299,26.6557,4.4243,30
BAC91563.1,0.6268,30.0320,0.0000,30
BAC08548.1,0.6203,30.0320,1.4510,30
ACC83392.1,0.6190,29.6559,0.0000,30
BAA17717.1,0.6229,29.6559,0.0000,30
ACB51662.1,0.6229,29.6559,0.0000,30
EAM48116.1,0.6229,29.6559,0.0000,30
ACZ19163.1,0.6412,36.4761,22.4156,27
WP_014624852.1,0.6425,35.7386,13.4851,30
WP_002678768.1,0.6333,25.7475,25.5345,30
BAM02738.1,0.6152,26.1571,17.7862,28
KZD16972.1,0.6776,27.8988,5.1854,30
AXA34785.1,0.6776,1000000022.5056,7.4157,28
WP_000892444.1,0.6986,34.1106,5.3558,30
APE74616.1,0.6101,22.6730,2.8430,30
ABG04368.1,0.6873,22.5897,4.4018,29
SEH14556.1,0.5925,24.0384,4.6188,30
AAD35972.1,0.6804,26.2747,18.5655,31
ADV63232.1,0.6735,25.3152,3.5503,30
WP_010049453.1,0.6572,23.3531,4.4243,30
AVM43904.1,0.6412,32.1444,6.3023,23
EEA90248.1,0.6887,24.2265,1.7354,30
ACU53587.1,0.6735,22.4788,2.5157,29
WP_131153948.1,0.6818,22.9067,0.0000,30
AAT83253.1,0.6901,25.0792,0.0000,30
WP_015771297.1,0.6818,24.9467,0.0000,30
CAB91132.1,0.6860,23.4825,0.0000,30
AEW97312.1,0.6763,24.2077,0.0000,30
AAC07467.1,0.6972,29.6569,2.9442,30
ACE82628.1,0.8101,14.4463,0.0000,30
WP_011044983.1,0.8596,7.7807,0.0000,30
ABK39186.1,0.8767,5.4276,1.7801,30
AAC75568.1,1.0000,0.0000,0.0000,30
WP_013026734.1,0.9447,1.5770,0.0000,30
EAU54713.1,0.7436,16.0702,4.1689,30
WP_011281768.1,0.7259,17.4422,0.0000,29
WP_141919126.1,0.7347,19.0336,4.6372,29
WP_011444079.1,0.7259,19.3170,6.0226,29
WP_034962069.1,0.7244,17.5540,6.0226,29
WP_068350622.1,0.7259,18.0181,6.0226,29
ABA79143.1,0.7406,16.5968,3.5156,29
WP_011455057.1,0.7451,15.0108,3.5156,29
ADU96577.1,0.6929,24.2063,5.1854,30
BAD40486.1,0.7157,24.0163,2.0082,30
CAB14437.1,0.6986,24.8931,10.5744,30
ABO67748.1,0.7000,25.3573,6.4055,30
WP_006317886.1,0.7043,25.6369,10.5744,30
ACL74833.1,0.6915,23.9135,0.0000,30
DAA93923.1,0.6986,24.3425,1.5420,30
ACZ37901.1,0.6790,21.6010,1.6746,30
AEH44631.1,0.7172,25.0017,1.3854,30
ABC19357.1,0.7186,22.8611,0.0000,30
ACL21716.1,0.6929,26.9736,0.0000,27
ABZ84822.1,0.7143,22.9498,1.3854,30
